lead_id,journey_id,prospect_id,session_id,lead_created_ts,lead_source_type,form_name,product_interest,lead_status,lead_score,qualification_status,qualification_reason,response_time_minutes,is_duplicate,is_contactable
LD00000026,JR0000151,PR000137,SS00000226,2025-02-28 23:05:26,lead_ad,lead_form_main,Cambio / registro Afore,nurtured,100.0,qualified,Cumple score e intención mínima,167,0,1
LD00000027,JR0000156,PR000141,SS00000235,2025-10-10 02:33:31,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,88.51,qualified,Cumple score e intención mínima,245,0,1
LD00000028,JR0000160,PR000145,SS00000241,2025-09-12 22:40:09,web_form,simulator_capture,Aportaciones complementarias,converted_to_registration,98.62,qualified,Cumple score e intención mínima,82,0,1
LD00000029,JR0000169,PR000152,SS00000255,2025-02-19 23:49:24,web_form,simulator_capture,Ahorro voluntario,lost,83.72,unqualified,Perfil no objetivo,639,0,1
LD00000030,JR0000170,PR000153,SS00000257,2025-10-23 09:30:36,landing_form,lead_form_short,Aportaciones complementarias,converted_to_registration,83.37,qualified,Cumple score e intención mínima,215,0,1
LD00000031,JR0000197,PR000173,SS00000297,2025-09-06 07:35:58,landing_form,contact_request,Ahorro voluntario,converted_to_registration,65.9,qualified,Cumple score e intención mínima,579,0,1
LD00000032,JR0000201,PR000177,SS00000303,2025-04-30 15:08:09,direct_form,simulator_capture,Ahorro voluntario,lost,80.54,unqualified,Duplicado operacional,92,0,1
LD00000033,JR0000205,PR000181,SS00000307,2025-04-21 06:59:22,lead_ad,contact_request,Ahorro voluntario,converted_to_registration,83.45,qualified,Cumple score e intención mínima,564,0,1
LD00000034,JR0000207,PR000183,SS00000310,2025-09-09 11:55:26,lead_ad,simulator_capture,Ahorro voluntario,lost,67.78,unqualified,Baja intención declarada,213,0,1
LD00000035,JR0000211,PR000187,SS00000316,2025-03-23 11:02:50,landing_form,lead_form_main,Cambio / registro Afore,converted_to_registration,89.01,qualified,Cumple score e intención mínima,519,0,1
LD00000036,JR0000215,PR000190,SS00000322,2025-11-14 09:59:48,web_form,contact_request,Ahorro voluntario,lost,82.01,unqualified,Perfil no objetivo,189,0,1
LD00000037,JR0000217,PR000192,SS00000324,2025-08-29 13:58:19,web_form,simulator_capture,Ahorro voluntario,lost,72.73,unqualified,Perfil no objetivo,232,0,1
LD00000038,JR0000221,PR000196,SS00000329,2025-06-04 22:32:28,web_form,lead_form_short,Ahorro voluntario,nurtured,57.89,qualified,Cumple score e intención mínima,411,0,1
LD00000039,JR0000225,PR000199,SS00000335,2025-04-03 21:57:02,direct_form,lead_form_main,Simulador de retiro,lost,41.94,unqualified,Duplicado operacional,54,0,1
LD00000040,JR0000226,PR000200,SS00000337,2025-03-08 00:00:05,web_form,simulator_capture,Ahorro voluntario,converted_to_registration,65.18,qualified,Cumple score e intención mínima,84,0,1
LD00000041,JR0000229,PR000203,SS00000344,2025-05-06 00:07:54,direct_form,simulator_capture,Cambio / registro Afore,converted_to_registration,66.21,qualified,Cumple score e intención mínima,199,0,1
LD00000042,JR0000243,PR000217,SS00000367,2025-08-12 18:52:41,landing_form,lead_form_short,Simulador de retiro,nurtured,74.72,qualified,Cumple score e intención mínima,913,0,1
LD00000043,JR0000257,PR000230,SS00000388,2025-06-20 14:44:09,landing_form,lead_form_main,Ahorro voluntario,converted_to_registration,69.61,qualified,Cumple score e intención mínima,333,0,1
LD00000044,JR0000267,PR000240,SS00000401,2025-10-08 07:42:39,web_form,contact_request,Aportaciones complementarias,converted_to_registration,94.08,qualified,Cumple score e intención mínima,273,0,1
LD00000045,JR0000269,PR000242,SS00000408,2025-04-09 21:33:05,partner_form,lead_form_main,Aportaciones complementarias,converted_to_registration,86.73,qualified,Cumple score e intención mínima,262,0,1
LD00000046,JR0000282,PR000252,SS00000430,2025-03-13 14:54:30,web_form,lead_form_short,Simulador de retiro,nurtured,62.61,qualified,Cumple score e intención mínima,195,0,1
LD00000047,JR0000285,PR000254,SS00000435,2025-10-20 09:53:39,direct_form,lead_form_short,Ahorro voluntario,lost,52.23,unqualified,Baja intención declarada,67,0,1
LD00000048,JR0000291,PR000259,SS00000442,2025-10-31 08:09:05,email_click,simulator_capture,Simulador de retiro,converted_to_registration,59.05,qualified,Cumple score e intención mínima,62,0,1
LD00000049,JR0000303,PR000269,SS00000458,2025-09-14 15:24:08,web_form,simulator_capture,Ahorro voluntario,lost,73.52,unqualified,Duplicado operacional,111,0,1
LD00000050,JR0000304,PR000270,SS00000460,2025-03-15 04:42:57,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,82.87,qualified,Cumple score e intención mínima,78,0,1
LD00000051,JR0000311,PR000277,SS00000472,2025-08-23 10:28:11,lead_ad,contact_request,Ahorro voluntario,converted_to_registration,75.7,qualified,Cumple score e intención mínima,128,0,1
LD00000052,JR0000324,PR000287,SS00000490,2025-05-28 18:37:24,web_form,lead_form_main,Cambio / registro Afore,converted_to_registration,65.57,qualified,Cumple score e intención mínima,366,0,0
LD00000053,JR0000339,PR000299,SS00000512,2025-01-09 20:06:29,email_click,simulator_capture,Aportaciones complementarias,converted_to_registration,95.72,qualified,Cumple score e intención mínima,51,0,1
LD00000054,JR0000344,PR000303,SS00000519,2025-07-06 02:59:31,web_form,lead_form_main,Cambio / registro Afore,nurtured,75.96,qualified,Cumple score e intención mínima,213,0,1
LD00000055,JR0000346,PR000305,SS00000521,2025-04-04 08:39:44,web_form,contact_request,Simulador de retiro,converted_to_registration,86.6,qualified,Cumple score e intención mínima,237,0,1
LD00000056,JR0000370,PR000326,SS00000552,2025-04-24 11:06:31,web_form,lead_form_short,Cambio / registro Afore,nurtured,63.06,qualified,Cumple score e intención mínima,211,0,1
LD00000057,JR0000375,PR000331,SS00000558,2025-02-13 14:19:55,web_form,lead_form_short,Ahorro voluntario,lost,66.26,unqualified,Duplicado operacional,122,0,1
LD00000058,JR0000378,PR000333,SS00000561,2025-06-06 01:16:01,web_form,contact_request,Simulador de retiro,converted_to_registration,47.89,qualified,Cumple score e intención mínima,207,0,0
LD00000059,JR0000393,PR000346,SS00000579,2025-10-26 20:16:12,email_click,simulator_capture,Ahorro voluntario,converted_to_registration,59.53,qualified,Cumple score e intención mínima,83,0,1
LD00000060,JR0000397,PR000349,SS00000588,2025-08-01 02:12:37,web_form,lead_form_main,Simulador de retiro,lost,40.39,unqualified,Baja intención declarada,132,0,1
LD00000061,JR0000401,PR000352,SS00000593,2025-04-13 04:18:35,web_form,lead_form_main,Simulador de retiro,lost,77.38,unqualified,Duplicado operacional,209,0,1
LD00000062,JR0000404,PR000355,SS00000597,2025-08-25 14:37:11,web_form,simulator_capture,Ahorro voluntario,lost,74.23,unqualified,Baja intención declarada,78,0,1
LD00000063,JR0000405,PR000356,SS00000598,2025-04-19 04:06:55,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,55.61,qualified,Cumple score e intención mínima,65,0,1
LD00000064,JR0000409,PR000360,SS00000606,2025-12-12 03:55:37,email_click,contact_request,Ahorro voluntario,converted_to_registration,100.0,qualified,Cumple score e intención mínima,42,0,1
LD00000065,JR0000427,PR000375,SS00000630,2025-03-16 06:56:43,lead_ad,contact_request,Información general,lost,37.97,unqualified,Duplicado operacional,163,0,1
LD00000066,JR0000434,PR000380,SS00000638,2025-04-05 11:13:05,lead_ad,lead_form_short,Aportaciones complementarias,converted_to_registration,94.53,qualified,Cumple score e intención mínima,157,0,1
LD00000067,JR0000435,PR000381,SS00000641,2025-05-04 20:59:25,web_form,lead_form_main,Simulador de retiro,lost,67.3,unqualified,Perfil no objetivo,246,0,1
LD00000068,JR0000449,PR000394,SS00000663,2025-08-24 06:46:33,web_form,simulator_capture,Simulador de retiro,lost,48.86,unqualified,Baja intención declarada,107,0,1
LD00000069,JR0000450,PR000395,SS00000665,2025-02-22 20:31:08,web_form,lead_form_main,Ahorro voluntario,nurtured,72.43,qualified,Cumple score e intención mínima,131,0,1
LD00000070,JR0000454,PR000399,SS00000671,2025-09-13 10:23:02,web_form,lead_form_main,Ahorro voluntario,lost,56.73,unqualified,Duplicado operacional,143,0,1
LD00000071,JR0000468,PR000412,SS00000691,2025-11-14 21:12:21,direct_form,simulator_capture,Ahorro voluntario,nurtured,76.18,qualified,Cumple score e intención mínima,87,0,0
LD00000072,JR0000489,PR000432,SS00000720,2025-05-23 21:34:03,direct_form,simulator_capture,Ahorro voluntario,converted_to_registration,90.12,qualified,Cumple score e intención mínima,100,0,1
LD00000073,JR0000493,PR000435,SS00000729,2025-07-13 13:06:30,web_form,simulator_capture,Ahorro voluntario,converted_to_registration,71.68,qualified,Cumple score e intención mínima,147,0,1
LD00000074,JR0000497,PR000438,SS00000736,2025-12-10 09:24:19,lead_ad,simulator_capture,Cambio / registro Afore,lost,63.97,unqualified,Duplicado operacional,243,0,1
LD00000075,JR0000498,PR000438,SS00000738,2026-01-01 04:22:00,lead_ad,lead_form_main,Cambio / registro Afore,converted_to_registration,70.37,qualified,Cumple score e intención mínima,319,1,1
LD00000076,JR0000510,PR000448,SS00000758,2025-12-12 22:05:41,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,67.62,qualified,Cumple score e intención mínima,102,0,1
LD00000077,JR0000511,PR000449,SS00000760,2025-09-19 10:16:32,web_form,contact_request,Ahorro voluntario,lost,73.01,unqualified,Duplicado operacional,145,0,1
LD00000078,JR0000522,PR000459,SS00000776,2025-02-22 13:06:33,web_form,lead_form_main,Ahorro voluntario,converted_to_registration,71.05,qualified,Cumple score e intención mínima,188,0,1
LD00000079,JR0000531,PR000468,SS00000790,2025-11-06 21:38:04,lead_ad,contact_request,Simulador de retiro,lost,39.05,unqualified,Duplicado operacional,380,0,1
LD00000080,JR0000547,PR000482,SS00000814,2025-05-20 06:04:15,lead_ad,lead_form_main,Aportaciones complementarias,converted_to_registration,80.19,qualified,Cumple score e intención mínima,90,0,0
LD00000081,JR0000551,PR000486,SS00000822,2025-05-08 13:55:28,email_click,simulator_capture,Ahorro voluntario,converted_to_registration,61.5,qualified,Cumple score e intención mínima,28,0,1
LD00000082,JR0000577,PR000509,SS00000858,2025-12-13 04:27:45,web_form,simulator_capture,Simulador de retiro,converted_to_registration,78.48,qualified,Cumple score e intención mínima,149,0,1
LD00000083,JR0000588,PR000519,SS00000874,2025-08-24 23:22:16,web_form,lead_form_short,Simulador de retiro,lost,36.28,unqualified,Perfil no objetivo,210,0,1
LD00000084,JR0000592,PR000523,SS00000879,2025-06-02 00:14:53,web_form,simulator_capture,Aportaciones complementarias,converted_to_registration,90.45,qualified,Cumple score e intención mínima,107,0,1
LD00000085,JR0000623,PR000552,SS00000915,2025-05-04 08:16:05,web_form,simulator_capture,Ahorro voluntario,nurtured,90.47,qualified,Cumple score e intención mínima,172,0,1
LD00000086,JR0000631,PR000558,SS00000927,2025-09-08 11:31:33,lead_ad,contact_request,Cambio / registro Afore,nurtured,97.3,qualified,Cumple score e intención mínima,133,0,1
LD00000087,JR0000632,PR000559,SS00000928,2025-06-22 18:08:29,web_form,contact_request,Cambio / registro Afore,converted_to_registration,67.53,qualified,Cumple score e intención mínima,356,0,1
LD00000088,JR0000647,PR000572,SS00000952,2025-08-28 03:49:27,email_click,contact_request,Ahorro voluntario,converted_to_registration,91.94,qualified,Cumple score e intención mínima,42,0,1
LD00000089,JR0000664,PR000588,SS00000975,2025-04-01 02:20:28,web_form,lead_form_short,Cambio / registro Afore,lost,77.64,unqualified,Duplicado operacional,152,0,1
LD00000090,JR0000669,PR000593,SS00000982,2025-04-17 15:21:09,lead_ad,lead_form_main,Cambio / registro Afore,converted_to_registration,86.04,qualified,Cumple score e intención mínima,74,0,1
LD00000091,JR0000690,PR000613,SS00001013,2025-09-16 14:54:51,lead_ad,contact_request,Simulador de retiro,converted_to_registration,90.28,qualified,Cumple score e intención mínima,323,0,1
LD00000092,JR0000692,PR000615,SS00001020,2025-09-04 14:40:39,partner_form,lead_form_main,Simulador de retiro,nurtured,55.21,qualified,Cumple score e intención mínima,205,0,0
LD00000093,JR0000697,PR000619,SS00001027,2025-11-27 00:04:29,web_form,lead_form_main,Aportaciones complementarias,nurtured,90.21,qualified,Cumple score e intención mínima,92,0,1
LD00000094,JR0000720,PR000641,SS00001062,2025-07-11 18:16:14,email_click,lead_form_main,Ahorro voluntario,lost,86.82,unqualified,Perfil no objetivo,37,0,1
LD00000095,JR0000738,PR000659,SS00001086,2025-08-20 01:32:45,web_form,simulator_capture,Cambio / registro Afore,converted_to_registration,61.21,qualified,Cumple score e intención mínima,135,0,1
LD00000096,JR0000759,PR000679,SS00001110,2025-04-27 16:52:28,app_cta,simulator_capture,Cambio / registro Afore,converted_to_registration,81.5,qualified,Cumple score e intención mínima,53,0,1
LD00000097,JR0000760,PR000680,SS00001112,2025-09-01 02:37:12,lead_ad,contact_request,Ahorro voluntario,converted_to_registration,91.3,qualified,Cumple score e intención mínima,105,0,1
LD00000098,JR0000771,PR000690,SS00001128,2025-02-08 00:15:47,email_click,simulator_capture,Ahorro voluntario,lost,58.17,unqualified,Duplicado operacional,157,0,1
LD00000099,JR0000774,PR000693,SS00001131,2025-10-17 19:42:46,direct_form,lead_form_main,Cambio / registro Afore,lost,62.5,unqualified,Duplicado operacional,100,0,1
LD00000100,JR0000783,PR000702,SS00001144,2025-11-20 01:04:42,web_form,lead_form_short,Ahorro voluntario,nurtured,93.18,qualified,Cumple score e intención mínima,142,0,1
LD00000101,JR0000787,PR000706,SS00001151,2025-11-09 03:03:35,lead_ad,lead_form_main,Ahorro voluntario,nurtured,54.49,qualified,Cumple score e intención mínima,191,0,1
LD00000102,JR0000791,PR000710,SS00001157,2025-09-02 13:24:47,lead_ad,contact_request,Simulador de retiro,nurtured,64.59,qualified,Cumple score e intención mínima,242,0,1
LD00000103,JR0000804,PR000722,SS00001175,2025-08-31 05:46:24,web_form,lead_form_short,Ahorro voluntario,nurtured,71.27,qualified,Cumple score e intención mínima,415,0,1
LD00000104,JR0000805,PR000723,SS00001178,2025-06-09 20:24:16,web_form,contact_request,Ahorro voluntario,nurtured,77.52,qualified,Cumple score e intención mínima,380,0,1
LD00000105,JR0000812,PR000730,SS00001189,2025-02-22 07:25:33,web_form,simulator_capture,Ahorro voluntario,nurtured,47.64,qualified,Cumple score e intención mínima,132,0,0
LD00000106,JR0000820,PR000737,SS00001201,2025-08-31 06:28:41,landing_form,contact_request,Ahorro voluntario,nurtured,76.86,qualified,Cumple score e intención mínima,221,0,1
LD00000107,JR0000825,PR000741,SS00001207,2025-04-09 18:21:19,web_form,lead_form_short,Ahorro voluntario,nurtured,72.68,qualified,Cumple score e intención mínima,171,0,1
LD00000108,JR0000827,PR000742,SS00001209,2025-07-07 04:37:58,lead_ad,lead_form_main,Simulador de retiro,lost,53.83,unqualified,Perfil no objetivo,274,0,1
LD00000109,JR0000829,PR000743,SS00001213,2025-04-16 14:06:33,email_click,lead_form_short,Cambio / registro Afore,lost,68.11,unqualified,Baja intención declarada,49,0,1
LD00000110,JR0000830,PR000744,SS00001214,2025-07-02 11:04:18,app_cta,contact_request,Ahorro voluntario,converted_to_registration,39.42,qualified,Cumple score e intención mínima,47,0,1
LD00000111,JR0000839,PR000751,SS00001229,2025-03-03 04:56:05,web_form,lead_form_main,Ahorro voluntario,lost,51.13,unqualified,Perfil no objetivo,371,0,1
LD00000112,JR0000848,PR000759,SS00001241,2025-08-26 11:37:41,direct_form,lead_form_main,Ahorro voluntario,converted_to_registration,94.6,qualified,Cumple score e intención mínima,128,0,1
LD00000113,JR0000862,PR000773,SS00001262,2025-09-23 04:19:51,lead_ad,lead_form_short,Ahorro voluntario,converted_to_registration,87.04,qualified,Cumple score e intención mínima,205,0,1
LD00000114,JR0000873,PR000782,SS00001279,2025-09-29 02:02:59,lead_ad,simulator_capture,Ahorro voluntario,nurtured,69.18,qualified,Cumple score e intención mínima,135,0,1
LD00000115,JR0000899,PR000805,SS00001315,2025-11-26 23:22:54,landing_form,lead_form_short,Ahorro voluntario,nurtured,86.21,qualified,Cumple score e intención mínima,416,0,1
LD00000116,JR0000900,PR000806,SS00001317,2025-07-02 00:42:42,web_form,lead_form_main,Ahorro voluntario,converted_to_registration,72.76,qualified,Cumple score e intención mínima,207,0,1
LD00000117,JR0000905,PR000810,SS00001325,2025-03-24 01:25:26,web_form,lead_form_short,Ahorro voluntario,lost,100.0,unqualified,Baja intención declarada,43,0,1
LD00000118,JR0000914,PR000817,SS00001338,2025-06-03 13:23:00,lead_ad,simulator_capture,Ahorro voluntario,lost,48.04,unqualified,Duplicado operacional,302,0,1
LD00000119,JR0000916,PR000819,SS00001340,2025-05-08 10:41:56,web_form,lead_form_short,Cambio / registro Afore,converted_to_registration,65.16,qualified,Cumple score e intención mínima,168,0,1
LD00000120,JR0000917,PR000820,SS00001342,2025-04-11 17:05:17,email_click,lead_form_main,Ahorro voluntario,lost,82.03,unqualified,Duplicado operacional,126,0,1
LD00000121,JR0000926,PR000827,SS00001357,2025-06-24 17:44:33,email_click,simulator_capture,Ahorro voluntario,converted_to_registration,77.78,qualified,Cumple score e intención mínima,56,0,1
LD00000122,JR0000928,PR000829,SS00001362,2025-08-14 07:01:55,app_cta,simulator_capture,Ahorro voluntario,nurtured,80.31,qualified,Cumple score e intención mínima,30,0,1
LD00000123,JR0000949,PR000847,SS00001395,2025-06-07 17:58:39,web_form,lead_form_short,Cambio / registro Afore,converted_to_registration,81.4,qualified,Cumple score e intención mínima,224,0,1
LD00000124,JR0000954,PR000852,SS00001403,2025-11-26 06:36:49,web_form,lead_form_main,Cambio / registro Afore,converted_to_registration,64.08,qualified,Cumple score e intención mínima,128,0,1
LD00000125,JR0000978,PR000875,SS00001438,2025-05-31 10:13:26,email_click,contact_request,Simulador de retiro,lost,54.89,unqualified,Duplicado operacional,76,0,1
LD00000126,JR0001011,PR000903,SS00001480,2025-07-25 09:57:49,email_click,contact_request,Cambio / registro Afore,converted_to_registration,81.74,qualified,Cumple score e intención mínima,89,0,1
LD00000127,JR0001026,PR000917,SS00001502,2025-06-22 08:48:52,web_form,lead_form_short,Ahorro voluntario,converted_to_registration,53.85,qualified,Cumple score e intención mínima,523,0,1
LD00000128,JR0001029,PR000919,SS00001510,2026-01-01 02:12:00,lead_ad,contact_request,Simulador de retiro,nurtured,52.95,qualified,Cumple score e intención mínima,150,0,1
LD00000129,JR0001037,PR000927,SS00001520,2025-12-15 02:05:09,email_click,simulator_capture,Cambio / registro Afore,lost,45.92,unqualified,Duplicado operacional,33,0,1
LD00000130,JR0001043,PR000932,SS00001528,2025-06-09 09:23:35,landing_form,simulator_capture,Cambio / registro Afore,nurtured,79.24,qualified,Cumple score e intención mínima,570,0,1
LD00000131,JR0001044,PR000933,SS00001531,2025-03-09 14:04:09,web_form,simulator_capture,Aportaciones complementarias,converted_to_registration,79.69,qualified,Cumple score e intención mínima,63,0,1
LD00000132,JR0001048,PR000937,SS00001539,2025-08-26 05:51:12,web_form,lead_form_main,Cambio / registro Afore,converted_to_registration,82.07,qualified,Cumple score e intención mínima,166,0,1
LD00000133,JR0001058,PR000947,SS00001555,2025-03-11 07:30:23,web_form,lead_form_main,Aportaciones complementarias,nurtured,100.0,qualified,Cumple score e intención mínima,137,0,1
LD00000134,JR0001059,PR000948,SS00001557,2025-12-03 19:40:54,landing_form,contact_request,Aportaciones complementarias,lost,96.09,unqualified,Perfil no objetivo,430,0,1
LD00000135,JR0001061,PR000950,SS00001559,2025-03-23 16:31:21,web_form,lead_form_short,Cambio / registro Afore,nurtured,77.87,qualified,Cumple score e intención mínima,147,0,1
LD00000136,JR0001069,PR000958,SS00001571,2025-02-10 13:37:46,direct_form,lead_form_main,Ahorro voluntario,converted_to_registration,89.18,qualified,Cumple score e intención mínima,68,0,1
LD00000137,JR0001088,PR000974,SS00001601,2025-02-13 08:00:59,web_form,lead_form_short,Cambio / registro Afore,converted_to_registration,83.87,qualified,Cumple score e intención mínima,88,0,1
LD00000138,JR0001090,PR000975,SS00001606,2025-05-28 21:50:27,email_click,simulator_capture,Ahorro voluntario,converted_to_registration,75.78,qualified,Cumple score e intención mínima,55,0,1
LD00000139,JR0001091,PR000976,SS00001610,2025-11-23 04:58:52,web_form,simulator_capture,Ahorro voluntario,converted_to_registration,66.27,qualified,Cumple score e intención mínima,132,0,1
LD00000140,JR0001107,PR000990,SS00001632,2025-05-20 01:56:09,lead_ad,contact_request,Cambio / registro Afore,lost,50.43,unqualified,Duplicado operacional,132,0,1
LD00000141,JR0001109,PR000992,SS00001635,2025-09-25 10:55:02,email_click,lead_form_main,Cambio / registro Afore,converted_to_registration,98.53,qualified,Cumple score e intención mínima,76,0,1
LD00000142,JR0001110,PR000993,SS00001638,2025-02-27 07:46:15,web_form,contact_request,Ahorro voluntario,nurtured,59.75,qualified,Cumple score e intención mínima,57,0,1
LD00000143,JR0001124,PR001005,SS00001656,2025-05-15 22:49:56,web_form,lead_form_main,Ahorro voluntario,converted_to_registration,46.88,qualified,Cumple score e intención mínima,702,0,1
LD00000144,JR0001132,PR001013,SS00001668,2025-08-28 18:29:04,web_form,lead_form_main,Simulador de retiro,converted_to_registration,70.38,qualified,Cumple score e intención mínima,228,0,1
LD00000145,JR0001147,PR001026,SS00001689,2025-05-03 21:11:17,app_cta,simulator_capture,Aportaciones complementarias,converted_to_registration,76.82,qualified,Cumple score e intención mínima,42,0,1
LD00000146,JR0001157,PR001035,SS00001702,2025-04-03 00:26:35,partner_form,simulator_capture,Ahorro voluntario,nurtured,50.32,qualified,Cumple score e intención mínima,186,0,0
LD00000147,JR0001166,PR001043,SS00001715,2025-04-25 05:11:39,web_form,simulator_capture,Simulador de retiro,lost,58.1,unqualified,Baja intención declarada,157,0,1
LD00000148,JR0001180,PR001053,SS00001735,2025-04-03 12:45:45,direct_form,simulator_capture,Simulador de retiro,lost,46.18,invalid_contact,Datos no contactables,153,0,0
LD00000149,JR0001182,PR001055,SS00001738,2025-05-29 20:27:51,web_form,lead_form_short,Cambio / registro Afore,nurtured,68.85,qualified,Cumple score e intención mínima,164,0,1
LD00000150,JR0001187,PR001059,SS00001746,2026-01-01 10:32:00,web_form,contact_request,Simulador de retiro,nurtured,62.42,qualified,Cumple score e intención mínima,94,0,1
LD00000151,JR0001206,PR001077,SS00001770,2025-07-24 16:24:46,lead_ad,lead_form_short,Simulador de retiro,nurtured,75.45,qualified,Cumple score e intención mínima,238,0,1
LD00000152,JR0001219,PR001088,SS00001787,2025-10-03 19:33:03,email_click,lead_form_main,Cambio / registro Afore,nurtured,78.4,qualified,Cumple score e intención mínima,79,0,1
LD00000153,JR0001228,PR001097,SS00001800,2025-09-13 15:08:01,lead_ad,simulator_capture,Ahorro voluntario,lost,87.99,unqualified,Perfil no objetivo,207,0,1
LD00000154,JR0001231,PR001100,SS00001803,2025-02-13 23:16:13,landing_form,lead_form_short,Cambio / registro Afore,nurtured,79.49,qualified,Cumple score e intención mínima,249,0,1
LD00000155,JR0001237,PR001105,SS00001814,2025-02-23 02:47:52,email_click,simulator_capture,Ahorro voluntario,nurtured,86.23,qualified,Cumple score e intención mínima,64,0,1
LD00000156,JR0001244,PR001110,SS00001821,2025-05-05 17:23:53,web_form,lead_form_short,Ahorro voluntario,lost,68.04,unqualified,Baja intención declarada,151,0,1
