registration_id,journey_id,prospect_id,lead_id,registration_started_ts,registration_completed_ts,registration_status,step_reached,document_upload_flag,kyc_validation_flag,biometric_validation_flag,rejection_reason,abandonment_reason
RG00000029,JR0000346,PR000305,LD00000055,2025-04-04 23:26:44,,abandoned,kyc,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000030,JR0000378,PR000333,LD00000058,2025-06-06 05:50:01,,abandoned,biometric,1,1,1,,Biometría no exitosa
RG00000031,JR0000393,PR000346,LD00000059,2025-10-27 02:13:12,,abandoned,kyc,1,1,1,,Biometría no exitosa
RG00000032,JR0000405,PR000356,LD00000063,2025-04-19 15:50:55,,abandoned,kyc,1,1,1,,Carga documental incompleta
RG00000033,JR0000409,PR000360,LD00000064,2025-12-12 07:51:37,,abandoned,biometric,1,1,0,Validación KYC fallida,Validación KYC fallida
RG00000034,JR0000434,PR000380,LD00000066,2025-04-07 07:26:05,,abandoned,kyc,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000035,JR0000489,PR000432,LD00000072,2025-05-25 17:31:03,2025-05-26 08:34:03,completed,confirmation,1,1,1,,
RG00000036,JR0000493,PR000435,LD00000073,2025-07-14 22:41:30,,abandoned,personal_data,1,1,1,,Carga documental incompleta
RG00000037,JR0000498,PR000438,LD00000075,2026-01-01 20:57:00,2026-01-02 05:20:00,completed,confirmation,1,1,1,,
RG00000038,JR0000510,PR000448,LD00000076,2025-12-13 11:54:41,,abandoned,biometric,1,1,0,,Tiempo de espera alto
RG00000039,JR0000522,PR000459,LD00000078,2025-02-22 16:58:33,,abandoned,biometric,1,1,0,,Usuario salió del flujo
RG00000040,JR0000547,PR000482,LD00000080,2025-05-20 17:10:15,2025-05-22 20:08:15,completed,confirmation,1,1,1,,
RG00000041,JR0000551,PR000486,LD00000081,2025-05-09 08:28:28,,abandoned,documents,1,0,0,,Biometría no exitosa
RG00000042,JR0000577,PR000509,LD00000082,2025-12-13 09:00:45,,abandoned,biometric,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000043,JR0000592,PR000523,LD00000084,2025-06-02 12:52:53,,abandoned,documents,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000044,JR0000632,PR000559,LD00000087,2025-06-23 08:36:29,,abandoned,personal_data,0,0,0,,Biometría no exitosa
RG00000045,JR0000647,PR000572,LD00000088,2025-08-28 15:17:27,,abandoned,documents,1,1,1,,Biometría no exitosa
RG00000046,JR0000669,PR000593,LD00000090,2025-04-19 02:16:09,,abandoned,personal_data,1,0,0,,Tiempo de espera alto
RG00000047,JR0000690,PR000613,LD00000091,2025-09-17 20:57:51,2025-09-18 00:30:51,completed,confirmation,1,1,1,,
RG00000048,JR0000738,PR000659,LD00000095,2025-08-21 03:06:45,,abandoned,documents,1,0,0,,Usuario salió del flujo
RG00000049,JR0000759,PR000679,LD00000096,2025-04-28 03:23:28,,abandoned,kyc,1,0,0,Validación KYC fallida,Validación KYC fallida
RG00000050,JR0000760,PR000680,LD00000097,2025-09-02 20:31:12,,abandoned,biometric,0,0,0,,Carga documental incompleta
RG00000051,JR0000830,PR000744,LD00000110,2025-07-02 20:39:18,2025-07-03 01:31:18,completed,confirmation,1,1,1,,
RG00000052,JR0000848,PR000759,LD00000112,2025-08-27 10:19:41,2025-08-28 07:04:41,completed,confirmation,1,1,1,,
RG00000053,JR0000862,PR000773,LD00000113,2025-09-23 13:02:51,,abandoned,documents,0,0,0,,Carga documental incompleta
RG00000054,JR0000900,PR000806,LD00000116,2025-07-02 16:36:42,,abandoned,personal_data,0,0,0,,Tiempo de espera alto
RG00000055,JR0000916,PR000819,LD00000119,2025-05-08 21:28:56,,abandoned,personal_data,1,0,0,,Tiempo de espera alto
RG00000056,JR0000926,PR000827,LD00000121,2025-06-25 19:06:33,,abandoned,biometric,1,1,1,,Usuario salió del flujo
RG00000057,JR0000949,PR000847,LD00000123,2025-06-10 03:18:39,,abandoned,kyc,0,0,0,,Biometría no exitosa
RG00000058,JR0000954,PR000852,LD00000124,2025-11-27 04:10:49,,abandoned,biometric,1,1,1,,Tiempo de espera alto
RG00000059,JR0001011,PR000903,LD00000126,2025-07-25 14:04:49,,abandoned,personal_data,0,0,0,,Tiempo de espera alto
RG00000060,JR0001026,PR000917,LD00000127,2025-06-22 19:49:52,,abandoned,documents,1,0,0,,Biometría no exitosa
RG00000061,JR0001044,PR000933,LD00000131,2025-03-09 21:06:09,2025-03-10 07:49:09,completed,confirmation,1,1,1,,
RG00000062,JR0001048,PR000937,LD00000132,2025-08-26 12:32:12,2025-08-28 04:24:12,completed,confirmation,1,1,1,,
RG00000063,JR0001069,PR000958,LD00000136,2025-02-11 09:45:46,,abandoned,personal_data,1,1,1,,Usuario salió del flujo
RG00000064,JR0001088,PR000974,LD00000137,2025-02-14 03:17:59,2025-02-14 09:09:59,completed,confirmation,1,1,1,,
RG00000065,JR0001090,PR000975,LD00000138,2025-05-30 04:51:27,,abandoned,kyc,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000066,JR0001091,PR000976,LD00000139,2025-11-23 14:32:52,,abandoned,biometric,1,1,0,,Biometría no exitosa
RG00000067,JR0001109,PR000992,LD00000141,2025-09-25 15:21:02,,abandoned,kyc,0,0,0,,Usuario salió del flujo
RG00000068,JR0001124,PR001005,LD00000143,2025-05-18 03:34:56,,abandoned,biometric,1,1,1,,Carga documental incompleta
RG00000069,JR0001132,PR001013,LD00000144,2025-08-29 02:57:04,2025-08-29 20:00:04,completed,confirmation,1,1,1,,
RG00000070,JR0001147,PR001026,LD00000145,2025-05-04 03:47:17,,abandoned,biometric,1,1,1,,Biometría no exitosa
RG00000071,JR0001253,PR001118,LD00000157,2025-08-10 22:32:53,,abandoned,kyc,1,0,0,,Biometría no exitosa
RG00000072,JR0001266,PR001131,LD00000161,2025-03-01 16:37:21,,abandoned,documents,0,0,0,,Usuario salió del flujo
RG00000073,JR0001267,PR001132,LD00000162,2025-04-12 16:43:38,,abandoned,documents,0,0,0,,Carga documental incompleta
RG00000074,JR0001277,PR001140,LD00000164,2025-02-25 12:27:45,,abandoned,documents,1,1,0,,Tiempo de espera alto
RG00000075,JR0001278,PR001141,LD00000165,2025-06-03 16:34:58,2025-06-04 18:23:58,completed,confirmation,1,1,1,,
RG00000076,JR0001294,PR001156,LD00000168,2025-07-06 16:47:55,2025-07-07 03:14:55,completed,confirmation,1,1,1,,
RG00000077,JR0001295,PR001157,LD00000169,2025-05-22 17:55:06,,abandoned,biometric,1,0,0,,Tiempo de espera alto
RG00000078,JR0001298,PR001160,LD00000170,2025-04-11 19:14:36,,abandoned,kyc,1,1,0,Validación KYC fallida,Validación KYC fallida
RG00000079,JR0001306,PR001167,LD00000171,2025-07-16 16:27:36,,abandoned,documents,1,1,1,,Tiempo de espera alto
RG00000080,JR0001307,PR001167,LD00000172,2025-07-31 07:09:36,,abandoned,documents,1,1,1,,Biometría no exitosa
RG00000081,JR0001309,PR001169,LD00000173,2025-07-30 02:33:22,2025-07-30 12:52:22,completed,confirmation,1,1,1,,
RG00000082,JR0001315,PR001175,LD00000174,2025-12-19 07:52:59,,abandoned,kyc,1,1,0,,Carga documental incompleta
RG00000083,JR0001326,PR001186,LD00000175,2025-03-29 12:50:06,2025-03-30 02:13:06,completed,confirmation,1,1,1,,
RG00000084,JR0001330,PR001189,LD00000176,2025-05-14 05:17:41,2025-05-14 09:36:41,completed,confirmation,1,1,1,,
RG00000085,JR0001386,PR001240,LD00000183,2025-10-11 13:23:54,,abandoned,kyc,1,1,1,,Biometría no exitosa
RG00000086,JR0001388,PR001242,LD00000184,2025-04-09 21:31:57,,abandoned,personal_data,1,1,1,,Carga documental incompleta
RG00000087,JR0001397,PR001249,LD00000186,2025-11-18 09:24:14,,abandoned,kyc,1,0,0,,Biometría no exitosa
RG00000088,JR0001408,PR001260,LD00000187,2025-10-08 06:59:27,2025-10-08 08:25:27,completed,confirmation,1,1,1,,
RG00000089,JR0001416,PR001268,LD00000188,2025-04-28 10:14:30,2025-04-28 12:07:30,completed,confirmation,1,1,1,,
RG00000090,JR0001437,PR001284,LD00000192,2025-04-17 17:22:34,,abandoned,personal_data,1,1,1,,Tiempo de espera alto
RG00000091,JR0001461,PR001305,LD00000194,2025-09-01 10:30:15,,abandoned,personal_data,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000092,JR0001472,PR001315,LD00000195,2025-09-02 10:56:04,,abandoned,biometric,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000093,JR0001473,PR001315,LD00000196,2025-09-17 14:57:04,2025-09-18 04:54:04,completed,confirmation,1,1,1,,
RG00000094,JR0001479,PR001321,LD00000197,2025-04-26 03:47:59,,abandoned,kyc,1,1,0,,Carga documental incompleta
RG00000095,JR0001511,PR001349,LD00000200,2025-02-07 13:32:49,,abandoned,personal_data,0,0,0,,Usuario salió del flujo
RG00000096,JR0001515,PR001353,LD00000202,2025-05-15 08:14:33,2025-05-15 20:49:33,completed,confirmation,1,1,1,,
RG00000097,JR0001527,PR001363,LD00000203,2025-06-30 11:14:14,2025-06-30 23:21:14,completed,confirmation,1,1,1,,
RG00000098,JR0001561,PR001393,LD00000205,2025-09-06 12:30:45,,abandoned,personal_data,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000099,JR0001563,PR001395,LD00000206,2025-07-28 03:02:33,2025-07-28 09:29:33,completed,confirmation,1,1,1,,
RG00000100,JR0001574,PR001406,LD00000209,2025-04-02 07:38:19,2025-04-02 14:26:19,completed,confirmation,1,1,1,,
RG00000101,JR0001595,PR001425,LD00000210,2025-05-23 15:01:20,,abandoned,personal_data,1,1,0,,Usuario salió del flujo
RG00000102,JR0001611,PR001440,LD00000213,2025-05-07 03:30:39,,abandoned,documents,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000103,JR0001622,PR001451,LD00000216,2025-02-28 22:42:30,,abandoned,personal_data,1,1,0,,Biometría no exitosa
RG00000104,JR0001624,PR001453,LD00000217,2025-06-29 11:44:53,,abandoned,documents,1,1,1,,Biometría no exitosa
RG00000105,JR0001642,PR001469,LD00000220,2025-10-27 21:32:16,,abandoned,documents,1,0,0,Validación KYC fallida,Validación KYC fallida
RG00000106,JR0001672,PR001497,LD00000227,2025-10-22 04:36:21,,abandoned,personal_data,1,1,0,,Tiempo de espera alto
RG00000107,JR0001680,PR001505,LD00000229,2025-03-30 09:29:04,,abandoned,biometric,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000108,JR0001687,PR001512,LD00000232,2025-08-05 07:20:15,2025-08-06 11:43:15,completed,confirmation,1,1,1,,
RG00000109,JR0001688,PR001512,LD00000233,2025-09-28 19:14:15,,abandoned,personal_data,1,1,1,,Biometría no exitosa
RG00000110,JR0001692,PR001516,LD00000234,2025-06-29 01:04:09,,abandoned,kyc,1,0,0,,Biometría no exitosa
RG00000111,JR0001696,PR001518,LD00000236,2025-07-15 14:01:56,2025-07-15 20:09:56,completed,confirmation,1,1,1,,
RG00000112,JR0001707,PR001527,LD00000237,2025-04-11 17:35:08,,abandoned,biometric,1,1,1,,Biometría no exitosa
RG00000113,JR0001710,PR001530,LD00000238,2025-05-30 09:27:33,,abandoned,documents,1,1,1,,Carga documental incompleta
RG00000114,JR0001725,PR001542,LD00000239,2025-12-24 16:33:19,2025-12-25 16:15:19,completed,confirmation,1,1,1,,
RG00000115,JR0001751,PR001566,LD00000241,2025-09-15 09:23:32,,abandoned,documents,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000116,JR0001761,PR001574,LD00000243,2025-09-14 07:12:16,,abandoned,kyc,1,0,0,,Biometría no exitosa
RG00000117,JR0001768,PR001580,LD00000245,2025-06-05 22:32:19,,abandoned,documents,1,0,0,,Tiempo de espera alto
RG00000118,JR0001794,PR001604,LD00000247,2025-06-16 16:31:42,,abandoned,personal_data,0,0,0,,Carga documental incompleta
RG00000119,JR0001795,PR001605,LD00000248,2025-09-05 00:44:33,,abandoned,personal_data,1,1,1,,Carga documental incompleta
RG00000120,JR0001796,PR001606,LD00000249,2025-02-24 05:42:44,,abandoned,documents,1,0,0,,Tiempo de espera alto
RG00000121,JR0001797,PR001606,LD00000250,2025-07-05 19:23:06,2025-07-06 03:40:06,completed,confirmation,1,1,1,,
RG00000122,JR0001845,PR001648,LD00000255,2025-03-08 00:44:07,,abandoned,personal_data,1,0,0,,Biometría no exitosa
RG00000123,JR0001865,PR001665,LD00000258,2025-12-27 19:27:03,2025-12-30 14:24:03,completed,confirmation,1,1,1,,
RG00000124,JR0001876,PR001676,LD00000260,2025-03-07 07:20:10,2025-03-08 03:29:10,completed,confirmation,1,1,1,,
RG00000125,JR0001895,PR001694,LD00000263,2025-09-04 08:00:53,,abandoned,personal_data,1,1,0,,Tiempo de espera alto
RG00000126,JR0001902,PR001701,LD00000264,2025-09-28 02:16:05,,abandoned,biometric,1,1,1,,Tiempo de espera alto
RG00000127,JR0001912,PR001709,LD00000265,2025-09-28 00:18:27,,abandoned,personal_data,1,0,0,Validación KYC fallida,Validación KYC fallida
RG00000128,JR0001917,PR001712,LD00000266,2025-04-24 17:50:14,,abandoned,documents,1,1,1,,Tiempo de espera alto
RG00000129,JR0001925,PR001718,LD00000268,2025-03-06 19:52:59,2025-03-07 12:19:59,completed,confirmation,1,1,1,,
RG00000130,JR0001929,PR001722,LD00000269,2025-08-07 21:08:05,2025-08-07 23:56:05,completed,confirmation,1,1,1,,
RG00000131,JR0001969,PR001757,LD00000271,2025-07-16 08:23:15,,abandoned,documents,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000132,JR0001978,PR001766,LD00000273,2025-09-07 22:23:28,,abandoned,kyc,1,1,1,,Usuario salió del flujo
RG00000133,JR0001983,PR001770,LD00000274,2025-09-17 21:22:01,2025-09-18 07:18:01,completed,confirmation,1,1,1,,
RG00000134,JR0001985,PR001772,LD00000276,2025-03-18 06:19:53,,abandoned,biometric,0,0,0,,Biometría no exitosa
RG00000135,JR0002011,PR001797,LD00000279,2025-09-04 01:30:54,,abandoned,documents,1,1,1,,Carga documental incompleta
RG00000136,JR0002013,PR001798,LD00000280,2025-10-29 12:26:09,,abandoned,documents,1,0,0,,Tiempo de espera alto
RG00000137,JR0002017,PR001801,LD00000281,2025-09-20 11:58:48,2025-09-20 13:52:48,completed,confirmation,1,1,1,,
RG00000138,JR0002026,PR001808,LD00000283,2025-08-27 14:55:14,,abandoned,kyc,1,1,0,,Carga documental incompleta
RG00000139,JR0002065,PR001843,LD00000290,2025-06-19 12:16:40,2025-06-19 20:10:40,completed,confirmation,1,1,1,,
RG00000140,JR0002079,PR001857,LD00000292,2025-06-16 07:28:51,,abandoned,personal_data,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000141,JR0002100,PR001877,LD00000294,2025-09-05 05:47:23,2025-09-05 19:00:23,completed,confirmation,1,1,1,,
RG00000142,JR0002106,PR001883,LD00000297,2025-09-01 12:11:54,,abandoned,kyc,1,0,0,,Tiempo de espera alto
RG00000143,JR0002111,PR001887,LD00000298,2025-08-11 07:07:08,,abandoned,personal_data,1,1,1,,Tiempo de espera alto
RG00000144,JR0002139,PR001911,LD00000300,2025-04-16 08:42:36,,abandoned,documents,1,1,1,,Carga documental incompleta
RG00000145,JR0002209,PR001975,LD00000308,2025-08-02 18:14:06,,abandoned,personal_data,1,1,0,,Carga documental incompleta
RG00000146,JR0002249,PR002012,LD00000313,2025-08-14 23:46:45,2025-08-16 10:36:45,completed,confirmation,1,1,1,,
RG00000147,JR0002271,PR002032,LD00000314,2025-12-27 13:49:25,2025-12-28 12:32:25,completed,confirmation,1,1,1,,
RG00000148,JR0002301,PR002060,LD00000318,2025-04-07 22:48:47,,abandoned,kyc,1,0,0,,Biometría no exitosa
RG00000149,JR0002310,PR002067,LD00000319,2025-08-02 04:09:55,2025-08-02 22:27:55,completed,confirmation,1,1,1,,
RG00000150,JR0002314,PR002070,LD00000320,2025-02-06 15:08:53,,abandoned,documents,1,1,1,,Carga documental incompleta
RG00000151,JR0002319,PR002074,LD00000321,2026-01-01 16:02:00,2026-01-01 18:33:00,completed,confirmation,1,1,1,,
RG00000152,JR0002337,PR002090,LD00000322,2025-12-21 15:22:19,,abandoned,personal_data,0,0,0,,Usuario salió del flujo
RG00000153,JR0002339,PR002092,LD00000323,2025-09-25 09:41:03,2025-09-26 13:35:03,completed,confirmation,1,1,1,,
RG00000154,JR0002351,PR002103,LD00000325,2025-06-27 19:25:30,,abandoned,documents,1,0,0,,Tiempo de espera alto
RG00000155,JR0002358,PR002109,LD00000326,2025-10-09 22:49:24,,abandoned,kyc,1,1,0,,Biometría no exitosa
RG00000156,JR0002367,PR002117,LD00000328,2025-07-09 19:13:32,2025-07-10 00:49:32,completed,confirmation,1,1,1,,
RG00000157,JR0002425,PR002167,LD00000337,2025-04-07 14:22:09,2025-04-09 01:13:09,completed,confirmation,1,1,1,,
RG00000158,JR0002448,PR002189,LD00000339,2025-04-24 14:11:28,2025-04-26 02:13:28,completed,confirmation,1,1,1,,
RG00000159,JR0002465,PR002204,LD00000342,2025-07-30 00:00:54,,abandoned,kyc,1,1,0,,Biometría no exitosa
RG00000160,JR0002472,PR002211,LD00000344,2025-07-19 06:55:32,2025-07-19 17:37:32,completed,confirmation,1,1,1,,
RG00000161,JR0002485,PR002224,LD00000345,2025-12-02 13:48:05,2025-12-02 18:38:05,completed,confirmation,1,1,1,,
RG00000162,JR0002486,PR002224,LD00000346,2025-12-29 02:40:05,,abandoned,personal_data,0,0,0,,Tiempo de espera alto
RG00000163,JR0002492,PR002229,LD00000349,2026-01-01 21:42:00,,abandoned,documents,1,1,1,,Usuario salió del flujo
RG00000164,JR0002528,PR002262,LD00000354,2025-08-19 23:13:24,,abandoned,personal_data,1,1,1,,Tiempo de espera alto
RG00000165,JR0002542,PR002275,LD00000356,2025-08-08 22:01:33,,abandoned,kyc,1,0,0,,Carga documental incompleta
RG00000166,JR0002548,PR002280,LD00000357,2025-10-20 02:34:37,,abandoned,personal_data,1,1,1,,Biometría no exitosa
RG00000167,JR0002611,PR002338,LD00000367,2025-02-05 05:47:08,,abandoned,kyc,1,1,0,,Usuario salió del flujo
RG00000168,JR0002624,PR002349,LD00000370,2025-08-30 17:18:21,,abandoned,kyc,0,0,0,,Carga documental incompleta
RG00000169,JR0002638,PR002362,LD00000373,2025-06-03 01:27:21,,abandoned,documents,1,1,0,,Carga documental incompleta
RG00000170,JR0002674,PR002394,LD00000374,2025-06-26 07:46:37,2025-06-27 01:03:37,completed,confirmation,1,1,1,,
RG00000171,JR0002675,PR002395,LD00000375,2025-04-05 02:39:37,2025-04-09 03:56:37,completed,confirmation,1,1,1,,
RG00000172,JR0002687,PR002404,LD00000377,2025-06-06 13:03:17,,abandoned,documents,1,1,0,,Biometría no exitosa
RG00000173,JR0002698,PR002414,LD00000378,2025-01-10 23:03:53,2025-01-11 20:55:53,completed,confirmation,1,1,1,,
RG00000174,JR0002719,PR002433,LD00000381,2025-05-21 08:41:07,,abandoned,documents,1,1,0,Validación KYC fallida,Validación KYC fallida
RG00000175,JR0002726,PR002439,LD00000383,2025-07-21 16:28:48,,abandoned,personal_data,1,1,1,,Biometría no exitosa
RG00000176,JR0002731,PR002444,LD00000385,2025-06-05 00:40:09,2025-06-05 09:05:09,completed,confirmation,1,1,1,,
RG00000177,JR0002738,PR002449,LD00000386,2025-12-23 14:31:55,,abandoned,documents,0,0,0,,Usuario salió del flujo
RG00000178,JR0002749,PR002460,LD00000388,2025-12-18 06:57:37,,abandoned,personal_data,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000179,JR0002760,PR002469,LD00000390,2025-11-17 09:16:42,2025-11-17 14:01:42,completed,confirmation,1,1,1,,
RG00000180,JR0002768,PR002477,LD00000392,2025-07-08 08:29:12,,abandoned,biometric,1,1,0,,Usuario salió del flujo
RG00000181,JR0002782,PR002491,LD00000393,2025-09-03 12:36:55,,abandoned,kyc,0,0,0,,Tiempo de espera alto
RG00000182,JR0002812,PR002515,LD00000398,2025-08-22 01:51:26,,abandoned,kyc,1,0,0,,Carga documental incompleta
RG00000183,JR0002829,PR002529,LD00000399,2025-09-02 13:41:02,2025-09-02 17:28:02,completed,confirmation,1,1,1,,
RG00000184,JR0002891,PR002586,LD00000407,2025-04-21 16:08:15,,abandoned,documents,1,1,1,,Biometría no exitosa
RG00000185,JR0002892,PR002587,LD00000408,2025-04-24 23:24:10,,abandoned,kyc,1,1,1,,Usuario salió del flujo
RG00000186,JR0002909,PR002602,LD00000412,2025-03-13 11:51:49,,abandoned,documents,1,1,0,,Usuario salió del flujo
RG00000187,JR0002973,PR002660,LD00000414,2025-07-14 07:21:14,2025-07-14 14:28:14,completed,confirmation,1,1,1,,
RG00000188,JR0002975,PR002661,LD00000415,2025-02-07 08:10:37,2025-02-08 06:47:37,completed,confirmation,1,1,1,,
RG00000189,JR0002979,PR002665,LD00000416,2025-07-04 08:27:02,,abandoned,kyc,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000190,JR0002984,PR002669,LD00000417,2025-05-28 01:58:51,,abandoned,documents,1,1,1,,Usuario salió del flujo
RG00000191,JR0003019,PR002704,LD00000418,2025-03-15 15:33:43,2025-03-22 15:32:43,completed,confirmation,1,1,1,,
RG00000192,JR0003038,PR002721,LD00000420,2025-05-13 20:44:59,,abandoned,personal_data,1,1,1,,Carga documental incompleta
RG00000193,JR0003041,PR002724,LD00000421,2025-05-03 03:17:01,,abandoned,kyc,1,1,1,,Biometría no exitosa
RG00000194,JR0003043,PR002725,LD00000422,2025-10-21 15:22:38,2025-10-23 05:19:38,completed,confirmation,1,1,1,,
RG00000195,JR0003048,PR002729,LD00000424,2025-05-21 09:22:59,,abandoned,biometric,1,1,0,,Tiempo de espera alto
RG00000196,JR0003066,PR002747,LD00000427,2025-09-03 15:53:53,,abandoned,documents,1,1,0,Validación KYC fallida,Validación KYC fallida
RG00000197,JR0003077,PR002758,LD00000430,2025-10-30 01:58:21,2025-10-30 14:32:21,completed,confirmation,1,1,1,,
RG00000198,JR0003093,PR002772,LD00000433,2025-11-28 12:28:12,,abandoned,biometric,1,1,1,,Usuario salió del flujo
RG00000199,JR0003118,PR002795,LD00000435,2025-10-17 21:53:07,2025-10-20 04:50:07,completed,confirmation,1,1,1,,
RG00000200,JR0003128,PR002804,LD00000438,2025-04-12 03:35:26,2025-04-12 06:27:26,completed,confirmation,1,1,1,,
RG00000201,JR0003145,PR002820,LD00000440,2025-07-28 08:33:09,,abandoned,documents,1,1,1,Validación KYC fallida,Validación KYC fallida
RG00000202,JR0003150,PR002823,LD00000441,2025-05-04 23:44:45,2025-05-05 12:06:45,completed,confirmation,1,1,1,,
RG00000203,JR0003161,PR002831,LD00000442,2025-03-18 23:23:51,,abandoned,personal_data,0,0,0,,Tiempo de espera alto
RG00000204,JR0003169,PR002838,LD00000443,2025-03-11 10:14:45,2025-03-11 22:23:45,completed,confirmation,1,1,1,,
RG00000205,JR0003194,PR002859,LD00000446,2025-06-24 21:17:04,2025-06-25 21:27:04,completed,confirmation,1,1,1,,
RG00000206,JR0003196,PR002860,LD00000447,2025-09-10 04:51:40,2025-09-10 11:48:40,completed,confirmation,1,1,1,,
RG00000207,JR0003216,PR002878,LD00000448,2025-08-03 11:53:09,2025-08-03 23:01:09,completed,confirmation,1,1,1,,
RG00000208,JR0003226,PR002887,LD00000451,2025-05-06 10:32:13,,abandoned,documents,1,1,0,,Tiempo de espera alto
RG00000209,JR0003284,PR002941,LD00000458,2025-07-05 14:36:56,,abandoned,biometric,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000210,JR0003300,PR002952,LD00000459,2025-07-13 19:12:18,,abandoned,personal_data,0,0,0,Validación KYC fallida,Validación KYC fallida
RG00000211,JR0003314,PR002965,LD00000460,2025-06-04 20:50:49,,abandoned,documents,1,0,0,,Tiempo de espera alto
RG00000212,JR0003316,PR002967,LD00000461,2025-08-03 14:41:28,,abandoned,personal_data,1,1,1,,Usuario salió del flujo
