journey_id,anonymous_visitor_id,prospect_id,primary_campaign_id,primary_channel_id,first_device_id,attribution_model,journey_start_ts,journey_end_ts,current_stage_id,is_closed
JR0000034,AV000000034,PR000033,CP013,CH005,DV006,last_non_direct,2025-05-21 03:29:55,2025-05-21 04:15:55,ST02,1
JR0000035,AV000000035,PR000034,CP003,CH001,DV006,last_non_direct,2025-04-18 23:34:26,2025-04-19 01:52:26,ST02,1
JR0000036,AV000000036,PR000035,CP001,CH001,DV006,last_non_direct,2025-10-21 05:49:21,2025-10-21 06:02:21,ST02,1
JR0000037,AV000000037,PR000036,CP002,CH001,DV006,last_non_direct,2025-12-03 09:56:02,2025-12-03 11:23:02,ST02,1
JR0000038,AV000000038,PR000037,CP016,CH007,DV001,last_non_direct,2025-04-21 21:31:09,2025-04-21 21:51:09,ST01,1
JR0000039,AV000000039,PR000038,CP008,CH003,DV002,last_non_direct,2025-03-20 02:41:11,2025-03-20 03:30:11,ST02,1
JR0000040,AV000000040,PR000039,CP007,CH003,DV003,first_touch,2025-06-07 07:54:27,2025-06-07 08:41:27,ST02,1
JR0000041,AV000000041,PR000040,CP004,CH001,DV002,position_based,2025-05-21 06:33:36,2025-05-21 07:20:36,ST02,1
JR0000042,AV000000042,PR000041,CP002,CH001,DV001,last_non_direct,2025-02-17 19:52:04,2025-02-18 05:51:04,ST04,1
JR0000043,AV000000043,PR000042,CP004,CH001,DV002,position_based,2025-04-14 14:47:20,2025-04-14 16:44:20,ST02,1
JR0000044,AV000000044,PR000043,CP007,CH003,DV002,position_based,2025-09-14 11:58:59,2025-09-14 14:01:59,ST02,1
JR0000045,AV000000045,PR000044,CP013,CH005,DV001,position_based,2025-11-26 23:50:38,2025-11-27 01:48:38,ST02,1
JR0000046,AV000000046,PR000044,CP007,CH003,DV006,position_based,2025-12-31 23:00:00,2025-12-31 23:50:00,ST02,1
JR0000047,AV000000047,PR000045,CP016,CH007,DV006,position_based,2025-08-23 23:32:56,2025-08-24 00:52:56,ST01,1
JR0000048,AV000000048,PR000046,CP002,CH001,DV001,position_based,2025-10-11 17:41:14,2025-10-12 06:12:14,ST03,1
JR0000049,AV000000049,PR000047,CP007,CH003,DV001,position_based,2025-09-28 11:02:23,2025-09-28 14:02:23,ST03,1
JR0000050,AV000000050,PR000047,CP011,CH004,DV003,last_non_direct,2025-11-30 22:23:04,2025-12-09 00:25:04,ST07,1
JR0000051,AV000000051,PR000048,CP010,CH004,DV008,last_non_direct,2025-04-11 06:02:27,2025-04-11 08:48:27,ST02,1
JR0000052,AV000000052,PR000049,CP016,CH007,DV005,last_non_direct,2025-04-27 03:16:03,2025-04-27 05:50:03,ST02,1
JR0000053,AV000000053,PR000050,CP005,CH002,DV007,first_touch,2025-06-20 21:25:25,2025-06-20 22:26:25,ST02,1
JR0000054,AV000000054,PR000050,CP008,CH003,DV002,first_touch,2025-07-13 06:25:25,2025-07-13 08:07:25,ST02,1
JR0000055,AV000000055,PR000051,CP003,CH001,DV003,first_touch,2025-06-01 00:38:23,2025-06-01 01:32:23,ST01,1
JR0000056,AV000000056,PR000052,CP003,CH001,DV001,first_touch,2025-07-27 07:07:04,2025-07-27 08:33:04,ST02,1
JR0000057,AV000000057,PR000053,CP005,CH002,DV004,last_non_direct,2025-07-18 14:08:49,2025-07-18 14:36:49,ST01,1
JR0000058,AV000000058,PR000054,CP003,CH001,DV001,last_non_direct,2025-04-15 21:16:24,2025-04-15 22:27:24,ST02,1
JR0000059,AV000000059,PR000055,CP005,CH002,DV005,last_non_direct,2025-07-04 23:46:39,2025-07-05 02:13:39,ST02,1
JR0000060,AV000000060,PR000055,CP010,CH004,DV004,last_non_direct,2025-07-05 22:55:40,2025-07-05 23:49:40,ST01,1
JR0000061,AV000000061,PR000056,CP005,CH002,DV004,position_based,2025-05-02 19:04:09,2025-05-02 19:41:09,ST02,1
JR0000062,AV000000062,PR000057,CP003,CH001,DV001,position_based,2025-07-24 20:54:50,2025-07-25 00:29:50,ST02,1
JR0000063,AV000000063,PR000058,CP001,CH001,DV006,last_non_direct,2025-04-18 01:53:50,2025-04-18 04:02:50,ST02,1
JR0000064,AV000000064,PR000059,CP008,CH003,DV007,last_non_direct,2025-11-04 20:09:39,2025-11-04 20:38:39,ST02,1
JR0000065,AV000000065,PR000060,CP005,CH002,DV007,last_non_direct,2025-02-26 09:06:40,2025-02-26 09:33:40,ST02,1
JR0000066,AV000000066,PR000060,CP006,CH002,DV002,first_touch,2025-07-24 11:15:14,2025-07-24 13:01:14,ST02,1
JR0000067,AV000000067,PR000061,CP013,CH005,DV003,last_non_direct,2025-08-08 17:24:57,2025-08-09 17:50:57,ST05,1
JR0000068,AV000000068,PR000062,CP002,CH001,DV001,last_non_direct,2025-03-11 03:01:48,2025-03-11 04:23:48,ST02,1
JR0000069,AV000000069,PR000063,CP018,CH008,DV003,position_based,2025-06-26 14:52:32,2025-06-26 15:43:32,ST01,1
JR0000070,AV000000070,PR000064,CP010,CH004,DV001,last_non_direct,2025-06-19 09:42:37,2025-06-19 09:56:37,ST01,1
JR0000071,AV000000071,PR000065,CP004,CH001,DV001,last_non_direct,2025-10-21 01:01:08,2025-10-26 12:51:08,ST07,1
JR0000072,AV000000072,PR000066,CP012,CH005,DV001,position_based,2025-08-17 02:22:10,2025-08-17 03:51:10,ST01,1
JR0000073,AV000000073,PR000067,CP005,CH002,DV007,last_non_direct,2025-06-28 18:16:46,2025-06-28 19:19:46,ST02,1
JR0000074,AV000000074,PR000068,CP001,CH001,DV002,position_based,2025-05-10 02:01:29,2025-05-10 21:29:29,ST03,1
JR0000075,AV000000075,PR000069,CP005,CH002,DV003,last_non_direct,2025-03-17 22:27:08,2025-03-18 14:07:08,ST04,1
JR0000076,AV000000076,PR000070,CP006,CH002,DV008,first_touch,2025-04-02 10:25:15,2025-04-02 11:47:15,ST02,1
JR0000077,AV000000077,PR000071,CP003,CH001,DV001,last_non_direct,2025-04-26 22:19:55,2025-04-27 02:15:55,ST02,1
JR0000078,AV000000078,PR000072,CP002,CH001,DV002,last_non_direct,2025-06-13 22:47:23,2025-06-14 05:21:23,ST03,1
JR0000079,AV000000079,PR000072,CP001,CH001,DV002,last_non_direct,2025-07-04 09:47:23,2025-07-26 13:30:23,ST07,1
JR0000080,AV000000080,PR000073,CP018,CH008,DV003,last_non_direct,2025-01-31 18:34:03,2025-01-31 18:42:03,ST01,1
JR0000081,AV000000081,PR000074,CP005,CH002,DV001,position_based,2025-04-26 03:51:14,2025-04-26 04:59:14,ST01,1
JR0000082,AV000000082,PR000075,CP003,CH001,DV001,last_non_direct,2025-01-26 19:48:56,2025-01-27 13:53:56,ST05,1
JR0000083,AV000000083,PR000076,CP010,CH004,DV001,last_non_direct,2025-08-03 13:30:01,2025-08-03 14:31:01,ST01,1
JR0000084,AV000000084,PR000077,CP002,CH001,DV005,last_non_direct,2025-08-23 21:25:22,2025-08-23 22:17:22,ST02,1
JR0000085,AV000000085,PR000078,CP003,CH001,DV001,position_based,2025-05-16 20:19:47,2025-05-16 21:50:47,ST01,1
JR0000086,AV000000086,PR000079,CP002,CH001,DV002,position_based,2025-05-16 06:05:02,2025-05-16 08:35:02,ST02,1
JR0000087,AV000000087,PR000080,CP005,CH002,DV004,first_touch,2025-09-07 12:33:46,2025-09-07 13:21:46,ST02,1
JR0000088,AV000000088,PR000081,CP006,CH002,DV002,last_non_direct,2025-03-12 04:43:47,2025-03-12 06:24:47,ST02,1
JR0000089,AV000000089,PR000082,CP010,CH004,DV005,position_based,2025-04-19 21:59:28,2025-04-19 23:47:28,ST01,1
JR0000090,AV000000090,PR000083,CP016,CH007,DV007,last_non_direct,2025-08-22 03:22:40,2025-08-22 05:08:40,ST01,1
JR0000091,AV000000091,PR000084,CP002,CH001,DV003,first_touch,2025-06-08 08:47:23,2025-06-08 10:55:23,ST02,1
JR0000092,AV000000092,PR000085,CP001,CH001,DV003,position_based,2025-11-27 13:25:17,2025-11-27 14:40:17,ST02,1
JR0000093,AV000000093,PR000085,CP016,CH007,DV003,last_non_direct,2025-12-24 22:25:17,2025-12-24 23:03:17,ST01,1
JR0000094,AV000000094,PR000086,CP002,CH001,DV002,last_non_direct,2025-04-25 01:03:58,2025-04-25 02:29:58,ST02,1
JR0000095,AV000000095,PR000086,CP012,CH005,DV002,last_non_direct,2025-07-13 00:43:02,2025-07-13 16:52:02,ST03,1
JR0000096,AV000000096,PR000087,CP012,CH005,DV008,position_based,2025-11-17 01:42:01,2025-11-17 07:20:01,ST04,1
JR0000097,AV000000097,PR000088,CP005,CH002,DV004,last_non_direct,2025-03-30 01:54:31,2025-03-30 22:51:31,ST04,1
JR0000098,AV000000098,PR000089,CP015,CH006,DV001,last_non_direct,2025-07-10 22:34:54,2025-07-11 00:36:54,ST02,1
JR0000099,AV000000099,PR000090,CP001,CH001,DV004,last_non_direct,2025-05-10 23:25:12,2025-05-11 00:10:12,ST02,1
JR0000100,AV000000100,PR000091,CP001,CH001,DV001,position_based,2025-02-16 09:20:21,2025-02-16 10:16:21,ST02,1
JR0000101,AV000000101,PR000092,CP002,CH001,DV002,first_touch,2025-06-25 08:48:31,2025-06-25 23:40:31,ST03,1
JR0000102,AV000000102,PR000092,CP007,CH003,DV001,last_non_direct,2025-08-25 02:59:24,2025-08-25 03:45:24,ST01,1
JR0000103,AV000000103,PR000093,CP003,CH001,DV002,position_based,2025-03-24 05:34:13,2025-03-24 07:32:13,ST01,1
JR0000104,AV000000104,PR000094,CP001,CH001,DV002,position_based,2025-04-02 07:35:52,2025-04-02 08:29:52,ST02,1
JR0000105,AV000000105,PR000095,CP007,CH003,DV003,first_touch,2025-07-29 12:02:00,2025-07-29 13:17:00,ST01,1
JR0000106,AV000000106,PR000096,CP012,CH005,DV001,last_non_direct,2025-11-22 06:12:35,2025-11-22 07:46:35,ST01,1
JR0000107,AV000000107,PR000097,CP005,CH002,DV004,position_based,2025-03-01 03:34:57,2025-03-01 04:00:57,ST02,1
JR0000108,AV000000108,PR000098,CP017,CH007,DV002,last_non_direct,2025-07-10 20:21:32,2025-07-10 21:56:32,ST01,1
JR0000109,AV000000109,PR000099,CP003,CH001,DV005,last_non_direct,2025-04-03 00:52:13,2025-04-03 01:23:13,ST02,1
JR0000110,AV000000110,PR000100,CP005,CH002,DV001,first_touch,2025-03-22 16:01:34,2025-03-22 16:31:34,ST01,1
JR0000111,AV000000111,PR000100,CP008,CH003,DV002,last_non_direct,2025-08-04 07:59:24,2025-08-04 10:10:24,ST02,1
JR0000112,AV000000112,PR000101,CP005,CH002,DV007,last_non_direct,2025-03-08 01:21:23,2025-03-08 03:09:23,ST02,1
JR0000113,AV000000113,PR000102,CP003,CH001,DV008,last_non_direct,2025-07-28 22:39:21,2025-07-28 23:26:21,ST02,1
JR0000114,AV000000114,PR000102,CP001,CH001,DV003,first_touch,2025-10-15 23:01:43,2025-10-16 00:45:43,ST02,1
JR0000115,AV000000115,PR000103,CP001,CH001,DV001,position_based,2025-02-13 11:22:17,2025-02-13 13:55:17,ST02,1
JR0000116,AV000000116,PR000104,CP004,CH001,DV005,last_non_direct,2025-08-23 07:50:02,2025-08-23 08:10:02,ST01,1
JR0000117,AV000000117,PR000105,CP003,CH001,DV002,last_non_direct,2025-01-26 09:17:52,2025-01-26 11:03:52,ST01,1
JR0000118,AV000000118,PR000106,CP002,CH001,DV001,last_non_direct,2025-10-15 15:14:20,2025-10-15 16:39:20,ST01,1
JR0000119,AV000000119,PR000107,CP001,CH001,DV001,last_non_direct,2025-02-08 12:43:47,2025-02-08 14:07:47,ST02,1
JR0000120,AV000000120,PR000108,CP008,CH003,DV002,last_non_direct,2025-06-25 00:50:42,2025-06-26 18:08:42,ST05,1
JR0000121,AV000000121,PR000109,CP008,CH003,DV001,last_non_direct,2025-06-14 23:50:56,2025-06-15 00:55:56,ST01,1
JR0000122,AV000000122,PR000110,CP016,CH007,DV007,position_based,2025-08-29 00:37:57,2025-08-29 02:37:57,ST02,1
JR0000123,AV000000123,PR000111,CP011,CH004,DV001,position_based,2025-08-14 12:57:22,2025-08-14 14:33:22,ST02,1
JR0000124,AV000000124,PR000111,CP001,CH001,DV001,first_touch,2025-09-09 10:16:52,2025-09-09 11:18:52,ST02,1
JR0000125,AV000000125,PR000112,CP014,CH006,DV003,first_touch,2025-08-07 21:28:00,2025-08-07 21:58:00,ST01,1
JR0000126,AV000000126,PR000113,CP008,CH003,DV004,position_based,2025-06-02 02:33:55,2025-06-02 04:21:55,ST01,1
JR0000127,AV000000127,PR000114,CP017,CH007,DV006,last_non_direct,2025-08-07 01:03:23,2025-08-07 03:07:23,ST02,1
JR0000128,AV000000128,PR000115,CP003,CH001,DV006,position_based,2025-05-06 17:32:42,2025-05-06 18:28:42,ST01,1
JR0000129,AV000000129,PR000116,CP003,CH001,DV002,position_based,2025-03-17 21:48:05,2025-03-17 22:58:05,ST02,1
JR0000130,AV000000130,PR000117,CP003,CH001,DV001,first_touch,2025-04-28 05:44:14,2025-04-28 16:33:14,ST05,1
JR0000131,AV000000131,PR000118,CP013,CH005,DV006,position_based,2025-06-08 21:33:19,2025-06-17 09:06:19,ST05,1
JR0000132,AV000000132,PR000119,CP002,CH001,DV001,first_touch,2025-10-24 08:08:25,2025-10-24 08:42:25,ST02,1
JR0000133,AV000000133,PR000120,CP003,CH001,DV001,first_touch,2025-02-28 21:54:05,2025-03-01 05:16:05,ST03,1
JR0000134,AV000000134,PR000121,CP009,CH003,DV003,position_based,2025-03-16 20:43:31,2025-03-20 06:03:31,ST06,1
JR0000135,AV000000135,PR000122,CP008,CH003,DV008,last_non_direct,2025-10-26 00:55:10,2025-10-26 02:22:10,ST02,1
JR0000136,AV000000136,PR000123,CP001,CH001,DV001,position_based,2025-01-26 17:55:21,2025-01-26 18:51:21,ST02,1
JR0000137,AV000000137,PR000124,CP001,CH001,DV001,last_non_direct,2025-03-27 00:27:46,2025-03-27 01:59:46,ST02,1
JR0000138,AV000000138,PR000125,CP007,CH003,DV001,first_touch,2025-05-01 20:21:25,2025-05-01 20:47:25,ST01,1
JR0000139,AV000000139,PR000126,CP003,CH001,DV006,position_based,2025-06-25 16:47:46,2025-06-25 17:02:46,ST01,1
JR0000140,AV000000140,PR000127,CP004,CH001,DV003,first_touch,2025-04-17 10:46:51,2025-04-17 12:17:51,ST01,1
JR0000141,AV000000141,PR000128,CP010,CH004,DV005,last_non_direct,2025-06-11 09:28:17,2025-06-11 09:46:17,ST01,1
JR0000142,AV000000142,PR000129,CP004,CH001,DV001,last_non_direct,2025-03-16 16:37:02,2025-03-16 17:02:02,ST02,1
JR0000143,AV000000143,PR000130,CP002,CH001,DV001,last_non_direct,2025-05-24 16:31:31,2025-05-24 19:00:31,ST02,1
JR0000144,AV000000144,PR000131,CP010,CH004,DV006,last_non_direct,2025-10-15 13:37:23,2025-10-15 14:09:23,ST02,1
JR0000145,AV000000145,PR000132,CP012,CH005,DV002,last_non_direct,2025-08-24 07:30:26,2025-08-24 08:35:26,ST02,1
JR0000146,AV000000146,PR000133,CP001,CH001,DV002,position_based,2025-09-07 18:17:36,2025-09-08 07:15:36,ST05,1
JR0000147,AV000000147,PR000134,CP001,CH001,DV002,last_non_direct,2025-10-08 05:46:40,2025-10-08 17:07:40,ST05,1
JR0000148,AV000000148,PR000135,CP003,CH001,DV001,first_touch,2025-05-20 11:47:17,2025-05-20 13:04:17,ST02,1
JR0000149,AV000000149,PR000135,CP007,CH003,DV005,position_based,2025-05-20 16:55:47,2025-05-20 17:51:47,ST02,1
JR0000150,AV000000150,PR000136,CP009,CH003,DV002,last_non_direct,2025-04-13 14:22:45,2025-04-14 16:49:45,ST05,1
JR0000151,AV000000151,PR000137,CP008,CH003,DV004,last_non_direct,2025-02-28 18:33:26,2025-03-01 03:04:26,ST04,1
JR0000152,AV000000152,PR000138,CP018,CH008,DV007,last_non_direct,2025-03-05 10:12:07,2025-03-05 11:24:07,ST02,1
JR0000153,AV000000153,PR000138,CP003,CH001,DV001,last_non_direct,2025-03-15 16:28:34,2025-03-15 17:04:34,ST01,1
JR0000154,AV000000154,PR000139,CP018,CH008,DV002,last_non_direct,2025-03-24 05:32:12,2025-03-24 08:02:12,ST02,1
JR0000155,AV000000155,PR000140,CP004,CH001,DV001,last_non_direct,2025-06-19 13:48:32,2025-06-19 15:13:32,ST02,1
JR0000156,AV000000156,PR000141,CP002,CH001,DV006,last_non_direct,2025-10-09 22:09:31,2025-10-10 12:04:31,ST05,1
JR0000157,AV000000157,PR000142,CP008,CH003,DV002,first_touch,2025-02-23 10:12:18,2025-02-23 11:28:18,ST02,1
JR0000158,AV000000158,PR000143,CP006,CH002,DV007,last_non_direct,2025-06-01 13:53:21,2025-06-01 15:26:21,ST02,1
JR0000159,AV000000159,PR000144,CP010,CH004,DV001,last_non_direct,2025-10-15 15:13:34,2025-10-15 15:52:34,ST01,1
JR0000160,AV000000160,PR000145,CP002,CH001,DV004,position_based,2025-09-12 13:02:09,2025-10-10 23:17:09,ST08,1
JR0000161,AV000000161,PR000146,CP007,CH003,DV001,position_based,2025-12-01 05:45:33,2025-12-01 06:07:33,ST02,1
JR0000162,AV000000162,PR000146,CP002,CH001,DV008,last_non_direct,2025-12-31 23:00:00,2026-01-01 01:08:00,ST02,1
JR0000163,AV000000163,PR000147,CP003,CH001,DV001,position_based,2025-04-18 15:27:52,2025-04-18 16:48:52,ST02,1
JR0000164,AV000000164,PR000148,CP003,CH001,DV002,first_touch,2025-06-18 06:06:36,2025-06-18 06:48:36,ST02,1
JR0000165,AV000000165,PR000149,CP004,CH001,DV001,last_non_direct,2025-12-07 02:11:18,2025-12-07 02:36:18,ST01,1
JR0000166,AV000000166,PR000149,CP001,CH001,DV001,position_based,2025-12-31 23:00:00,2025-12-31 23:44:00,ST02,1
JR0000167,AV000000167,PR000150,CP007,CH003,DV003,last_non_direct,2025-06-28 01:54:31,2025-06-28 02:27:31,ST01,1
JR0000168,AV000000168,PR000151,CP008,CH003,DV002,last_non_direct,2025-02-19 20:14:48,2025-02-19 21:27:48,ST02,1
JR0000169,AV000000169,PR000152,CP006,CH002,DV001,last_non_direct,2025-02-19 21:50:24,2025-02-20 01:21:24,ST03,1
JR0000170,AV000000170,PR000153,CP011,CH004,DV004,last_non_direct,2025-10-23 03:16:36,2025-10-23 22:35:36,ST05,1
JR0000171,AV000000171,PR000153,CP010,CH004,DV004,first_touch,2025-11-21 08:16:36,2025-11-21 09:02:36,ST02,1
JR0000172,AV000000172,PR000154,CP013,CH005,DV006,last_non_direct,2025-12-17 08:33:13,2025-12-17 10:43:13,ST02,1
JR0000173,AV000000173,PR000154,CP010,CH004,DV001,last_non_direct,2025-12-31 23:00:00,2026-01-01 00:41:00,ST02,1
JR0000174,AV000000174,PR000155,CP010,CH004,DV002,first_touch,2025-05-12 08:30:58,2025-05-12 08:53:58,ST01,1
JR0000175,AV000000175,PR000156,CP015,CH006,DV002,first_touch,2025-05-04 16:15:21,2025-05-04 18:26:21,ST02,1
JR0000176,AV000000176,PR000157,CP010,CH004,DV001,first_touch,2025-08-20 18:29:25,2025-08-20 19:51:25,ST02,1
JR0000177,AV000000177,PR000158,CP005,CH002,DV003,position_based,2025-09-07 18:25:03,2025-09-07 19:10:03,ST02,1
JR0000178,AV000000178,PR000158,CP003,CH001,DV001,last_non_direct,2025-10-17 04:25:03,2025-10-17 06:11:03,ST02,1
JR0000179,AV000000179,PR000159,CP014,CH006,DV001,last_non_direct,2025-03-26 21:55:40,2025-03-26 23:41:40,ST01,1
JR0000180,AV000000180,PR000160,CP007,CH003,DV003,last_non_direct,2025-09-04 23:13:16,2025-09-05 00:24:16,ST01,1
JR0000181,AV000000181,PR000160,CP004,CH001,DV003,last_non_direct,2025-09-24 10:13:16,2025-09-24 12:10:16,ST02,1
JR0000182,AV000000182,PR000161,CP005,CH002,DV004,position_based,2025-06-15 06:15:23,2025-06-15 07:45:23,ST02,1
JR0000183,AV000000183,PR000162,CP005,CH002,DV001,first_touch,2025-05-12 19:54:21,2025-05-12 21:06:21,ST02,1
JR0000184,AV000000184,PR000162,CP002,CH001,DV003,position_based,2025-06-07 06:54:21,2025-06-07 08:06:21,ST02,1
JR0000185,AV000000185,PR000163,CP003,CH001,DV002,last_non_direct,2025-05-01 03:30:09,2025-05-01 04:50:09,ST01,1
JR0000186,AV000000186,PR000164,CP001,CH001,DV001,position_based,2025-03-13 06:28:19,2025-03-13 07:15:19,ST01,1
JR0000187,AV000000187,PR000165,CP011,CH004,DV001,position_based,2025-02-04 07:32:09,2025-02-04 09:29:09,ST02,1
JR0000188,AV000000188,PR000166,CP004,CH001,DV006,position_based,2025-06-05 07:38:06,2025-06-05 09:26:06,ST02,1
JR0000189,AV000000189,PR000167,CP003,CH001,DV002,position_based,2025-03-29 14:36:15,2025-03-29 16:51:15,ST02,1
JR0000190,AV000000190,PR000168,CP011,CH004,DV001,first_touch,2025-09-08 18:11:50,2025-09-08 18:26:50,ST01,1
JR0000191,AV000000191,PR000169,CP007,CH003,DV004,position_based,2025-08-25 11:36:43,2025-08-25 13:20:43,ST02,1
JR0000192,AV000000192,PR000170,CP004,CH001,DV003,first_touch,2025-08-19 06:58:17,2025-08-19 08:07:17,ST02,1
JR0000193,AV000000193,PR000171,CP009,CH003,DV003,last_non_direct,2025-04-12 23:44:11,2025-04-13 00:18:11,ST01,1
JR0000194,AV000000194,PR000171,CP006,CH002,DV002,first_touch,2025-04-25 23:44:11,2025-04-26 01:38:11,ST02,1
JR0000195,AV000000195,PR000172,CP001,CH001,DV004,last_non_direct,2025-02-15 18:42:40,2025-02-15 20:38:40,ST01,1
JR0000196,AV000000196,PR000173,CP001,CH001,DV002,first_touch,2025-04-07 07:29:19,2025-04-07 09:30:19,ST02,1
JR0000197,AV000000197,PR000173,CP010,CH004,DV003,last_non_direct,2025-09-06 03:56:58,2025-09-17 18:52:58,ST08,1
JR0000198,AV000000198,PR000174,CP009,CH003,DV006,last_non_direct,2025-07-07 17:40:41,2025-07-07 19:34:41,ST02,1
JR0000199,AV000000199,PR000175,CP008,CH003,DV002,last_non_direct,2025-03-09 01:29:39,2025-03-09 01:41:39,ST01,1
JR0000200,AV000000200,PR000176,CP009,CH003,DV001,position_based,2025-02-10 23:08:03,2025-02-11 00:39:03,ST02,1
JR0000201,AV000000201,PR000177,CP016,CH007,DV008,last_non_direct,2025-04-30 10:46:09,2025-04-30 15:35:09,ST03,1
JR0000202,AV000000202,PR000178,CP009,CH003,DV001,position_based,2025-04-12 03:52:40,2025-04-12 06:10:40,ST02,1
JR0000203,AV000000203,PR000179,CP009,CH003,DV005,last_non_direct,2025-08-01 00:45:46,2025-08-01 02:19:46,ST02,1
JR0000204,AV000000204,PR000180,CP007,CH003,DV002,first_touch,2025-07-25 18:14:24,2025-07-25 19:31:24,ST02,1
JR0000205,AV000000205,PR000181,CP007,CH003,DV005,last_non_direct,2025-04-21 03:23:22,2025-04-23 00:48:22,ST06,1
JR0000206,AV000000206,PR000182,CP001,CH001,DV003,first_touch,2025-06-04 20:44:41,2025-06-04 21:44:41,ST01,1
JR0000207,AV000000207,PR000183,CP008,CH003,DV001,first_touch,2025-09-09 10:40:26,2025-09-09 12:04:26,ST03,1
